,Name1,Type 1,Type 2,Number,Speed,Special Def,Special Atk,Defense,Attack,HP,Weight,Base Experience,Ability One,Ability Two,Back Sprite,Back Shiny,Front Sprite,Front Shiny
64,kadabra,psychic,No Second Type,64,40,35,30,120,70,105,565.0,140,synchronize,inner-focus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/64.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/64.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/64.png
65,alakazam,psychic,No Second Type,65,55,50,45,135,95,120,480.0,250,synchronize,inner-focus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/65.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/65.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/65.png
66,machop,fighting,No Second Type,66,70,80,50,35,35,35,195.0,61,guts,no-guard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/66.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/66.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/66.png
67,machoke,fighting,No Second Type,67,80,100,70,50,60,45,705.0,142,guts,no-guard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/67.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/67.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/67.png
68,machamp,fighting,No Second Type,68,90,130,80,65,85,55,1300.0,253,guts,no-guard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/68.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/68.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/68.png
69,bellsprout,grass,poison,69,50,75,35,70,30,40,40.0,60,chlorophyll,gluttony,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/69.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/69.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/69.png
70,weepinbell,grass,poison,70,65,90,50,85,45,55,64.0,137,chlorophyll,gluttony,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/70.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/70.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/70.png
71,victreebel,grass,poison,71,80,105,65,100,70,70,155.0,221,chlorophyll,gluttony,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/71.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/71.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/71.png
72,tentacool,water,poison,72,40,40,35,50,100,70,455.0,67,clear-body,liquid-ooze,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/72.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/72.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/72.png
73,tentacruel,water,poison,73,80,70,65,80,120,100,550.0,180,clear-body,liquid-ooze,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/73.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/73.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/73.png
74,geodude,rock,ground,74,40,80,100,30,30,20,200.0,60,rock-head,sturdy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/74.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/74.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/74.png
75,graveler,rock,ground,75,55,95,115,45,45,35,1050.0,137,rock-head,sturdy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/75.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/75.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/75.png
76,golem,rock,ground,76,80,120,130,55,65,45,3000.0,223,rock-head,sturdy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/76.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/76.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/76.png
77,ponyta,fire,No Second Type,77,50,85,55,65,65,90,300.0,82,run-away,flash-fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/77.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/77.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/77.png
78,rapidash,fire,No Second Type,78,65,100,70,80,80,105,950.0,175,run-away,flash-fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/78.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/78.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/78.png
79,slowpoke,water,psychic,79,90,65,65,40,40,15,360.0,63,oblivious,own-tempo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/79.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/79.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/79.png
80,slowbro,water,psychic,80,95,75,110,100,80,30,785.0,172,oblivious,own-tempo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/80.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/80.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/80.png
81,magnemite,electric,steel,81,25,35,70,95,55,45,60.0,65,magnet-pull,sturdy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/81.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/81.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/81.png
82,magneton,electric,steel,82,50,60,95,120,70,70,600.0,163,magnet-pull,sturdy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/82.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/82.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/82.png
83,farfetchd,normal,flying,83,52,90,55,58,62,60,150.0,132,keen-eye,inner-focus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/83.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/83.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/83.png
84,doduo,normal,flying,84,35,85,45,35,35,75,392.0,62,run-away,early-bird,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/84.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/84.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/84.png
85,dodrio,normal,flying,85,60,110,70,60,60,110,852.0,165,run-away,early-bird,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/85.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/85.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/85.png
86,seel,water,No Second Type,86,65,45,55,45,70,45,900.0,65,thick-fat,hydration,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/86.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/86.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/86.png
87,dewgong,water,ice,87,90,70,80,70,95,70,1200.0,166,thick-fat,hydration,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/87.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/87.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/87.png
88,grimer,poison,No Second Type,88,80,80,50,40,50,25,300.0,65,stench,sticky-hold,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/88.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/88.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/88.png
89,muk,poison,No Second Type,89,105,105,75,65,100,50,300.0,175,stench,sticky-hold,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/89.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/89.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/89.png
90,shellder,water,No Second Type,90,30,65,100,45,25,40,40.0,61,shell-armor,skill-link,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/90.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/90.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/90.png
91,cloyster,water,ice,91,50,95,180,85,45,70,1325.0,184,shell-armor,skill-link,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/91.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/91.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/91.png
92,gastly,ghost,poison,92,30,35,30,100,35,80,1.0,62,levitate,No Second Ability,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/92.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/92.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/92.png
93,haunter,ghost,poison,93,45,50,45,115,55,95,1.0,142,levitate,No Second Ability,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/93.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/93.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/93.png
94,gengar,ghost,poison,94,60,65,60,130,75,110,405.0,250,cursed-body,No Second Ability,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/94.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/94.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/94.png
95,onix,rock,ground,95,35,45,160,30,45,70,2100.0,77,rock-head,sturdy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/95.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/95.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/95.png
96,drowzee,psychic,No Second Type,96,60,48,45,43,90,42,324.0,66,insomnia,forewarn,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/96.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/96.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/96.png
97,hypno,psychic,No Second Type,97,85,73,70,73,115,67,756.0,169,insomnia,forewarn,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/97.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/97.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/97.png
98,krabby,water,No Second Type,98,30,105,90,25,25,50,65.0,65,hyper-cutter,shell-armor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/98.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/98.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/98.png
99,kingler,water,No Second Type,99,55,130,115,50,50,75,600.0,166,hyper-cutter,shell-armor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/99.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/99.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/99.png
100,voltorb,electric,No Second Type,100,40,30,50,55,55,100,104.0,66,soundproof,static,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/100.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/100.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/100.png
101,electrode,electric,No Second Type,101,60,50,70,80,80,150,666.0,172,soundproof,static,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/101.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/101.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/101.png
102,exeggcute,grass,psychic,102,60,40,80,60,45,40,25.0,65,chlorophyll,harvest,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/102.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/102.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/102.png
103,exeggutor,grass,psychic,103,95,95,85,125,75,55,1200.0,186,chlorophyll,harvest,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/103.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/103.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/103.png
104,cubone,ground,No Second Type,104,50,50,95,40,50,35,65.0,64,rock-head,lightning-rod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/104.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/104.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/104.png
105,marowak,ground,No Second Type,105,60,80,110,50,80,45,450.0,149,rock-head,lightning-rod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/105.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/105.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/105.png
106,hitmonlee,fighting,No Second Type,106,50,120,53,35,110,87,498.0,159,limber,reckless,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/106.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/106.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/106.png
107,hitmonchan,fighting,No Second Type,107,50,105,79,35,110,76,502.0,159,keen-eye,iron-fist,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/107.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/107.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/107.png
108,lickitung,normal,No Second Type,108,90,55,75,60,75,30,655.0,77,own-tempo,oblivious,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/108.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/108.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/108.png
109,koffing,poison,No Second Type,109,40,65,95,60,45,35,10.0,68,levitate,neutralizing-gas,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/109.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/109.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/109.png
110,weezing,poison,No Second Type,110,65,90,120,85,70,60,95.0,172,levitate,neutralizing-gas,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/110.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/110.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/110.png
111,rhyhorn,ground,rock,111,80,85,95,30,30,25,1150.0,69,lightning-rod,rock-head,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/111.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/111.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/111.png
112,rhydon,ground,rock,112,105,130,120,45,45,40,1200.0,170,lightning-rod,rock-head,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/112.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/112.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/112.png
113,chansey,normal,No Second Type,113,250,5,5,35,105,50,346.0,395,natural-cure,serene-grace,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/113.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/113.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/113.png
114,tangela,grass,No Second Type,114,65,55,115,100,40,60,350.0,87,chlorophyll,leaf-guard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/114.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/114.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/114.png
115,kangaskhan,normal,No Second Type,115,105,95,80,40,80,90,800.0,172,early-bird,scrappy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/115.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/115.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/115.png
116,horsea,water,No Second Type,116,30,40,70,70,25,60,80.0,59,swift-swim,sniper,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/116.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/116.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/116.png
117,seadra,water,No Second Type,117,55,65,95,95,45,85,250.0,154,poison-point,sniper,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/117.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/117.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/117.png
118,goldeen,water,No Second Type,118,45,67,60,35,50,63,150.0,64,swift-swim,water-veil,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/118.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/118.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/118.png
119,seaking,water,No Second Type,119,80,92,65,65,80,68,390.0,158,swift-swim,water-veil,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/119.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/119.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/119.png
120,staryu,water,No Second Type,120,30,45,55,70,55,85,345.0,68,illuminate,natural-cure,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/120.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/120.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/120.png
121,starmie,water,psychic,121,60,75,85,100,85,115,800.0,182,illuminate,natural-cure,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/121.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/121.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/121.png
122,mr-mime,psychic,fairy,122,40,45,65,100,120,90,545.0,161,soundproof,filter,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/122.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/122.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/122.png
123,scyther,bug,flying,123,70,110,80,55,80,105,560.0,100,swarm,technician,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/123.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/123.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/123.png
124,jynx,ice,psychic,124,65,50,35,115,95,95,406.0,159,oblivious,forewarn,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/124.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/124.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/124.png
125,electabuzz,electric,No Second Type,125,65,83,57,95,85,105,300.0,172,static,vital-spirit,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/125.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/125.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/125.png
126,magmar,fire,No Second Type,126,65,95,57,100,85,93,445.0,173,flame-body,vital-spirit,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/126.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/126.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/126.png
127,pinsir,bug,No Second Type,127,65,125,100,55,70,85,550.0,175,hyper-cutter,mold-breaker,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/127.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/127.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/127.png
